browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Chrome,146.0.0.0,1470,956,MacOS,en-US,2026-04-27_17:04:44,2026-04-27_18:04:44,2026-04-22_21:10:27,https://www.testable.org/experiment/20536/669226/start,256.041

rowNo,type,stim1,textColor,condition1,condition2,stimFormat,ITI,key,feedback,keyboard,random,title,content,responseType,head,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
"2",form,"","","","","","","","","","",Participant number,Please enter the participant number included in the instruction email here.,box,Please enter the participant number included in your instruction email below:,,"","",27403,"8898",2349,"0",NA
"4",test,XXXX,red,filler,"",word,"800",left,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",800,48,"16.67",46150,left,1456,"1",""
"5",test,XXXX,yellow,filler,"",word,"800",right,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",800,48,"16.66",48925,right,601,"1",""
"6",test,XXXX,green,filler,"",word,"800",up,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",800,48,"16.67",52548,up,1957,"1",""
"7",test,XXXX,blue,filler,"",word,"800",down,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",800,48,"16.66",54838,down,462,"1",""
"8",test,XXXX,red,filler,"",word,"800",left,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",800,48,"16.67",57448,left,991,"1",""
"9",test,XXXX,yellow,filler,"",word,"800",right,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",800,48,"16.67",59639,right,547,"1",""
"10",test,XXXX,green,filler,"",word,"800",up,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",800,48,"16.67",61647,up,424,"1",""
"11",test,XXXX,blue,filler,"",word,"800",down,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",800,48,"16.67",64036,down,561,"1",""
"15",test,YELLOW,yellow,congruent,english,word,"800",right,"",left right up down,"1","","","","",800,48,"16.67",77774,right,2399,"1",""
"14",test,RED,blue,incongruent,english,word,"800",down,"",left right up down,"1","","","","",800,48,"16.66",83009,down,4434,"1",""
"17",test,GREEN,green,congruent,english,word,"800",up,"",left right up down,"1","","","","",800,48,"16.67",85741,up,1935,"1",""
"16",test,YELLOW,red,incongruent,english,word,"800",left,"",left right up down,"1","","","","",799,48,"16.65",88025,left,1484,"1",""
"19",test,BLUE,blue,congruent,english,word,"800",down,"",left right up down,"1","","","","",800,48,"16.67",91303,down,2480,"1",""
"20",test,BLUE,green,incongruent,english,word,"800",up,"",left right up down,"1","","","","",800,48,"16.66",93988,up,1898,"1",""
"18",test,GREEN,yellow,incongruent,english,word,"800",right,"",left right up down,"1","","","","",800,48,"16.67",97768,right,2977,"1",""
"13",test,RED,red,congruent,english,word,"800",left,"",left right up down,"1","","","","",800,48,"16.67",100143,left,1585,"1",""
"23",test,YELLOW,yellow,congruent,english,word,"800",right,"",left right up down,"2","","","","",800,48,"16.66",103731,right,2790,"1",""
"21",test,RED,red,congruent,english,word,"800",left,"",left right up down,"2","","","","",800,48,"16.67",106433,left,1908,"1",""
"28",test,BLUE,red,incongruent,english,word,"800",left,"",left right up down,"2","","","","",800,48,"16.67",108665,left,1441,"1",""
"22",test,RED,yellow,incongruent,english,word,"800",right,"",left right up down,"2","","","","",800,48,"16.66",112079,right,2621,"1",""
"27",test,BLUE,blue,congruent,english,word,"800",down,"",left right up down,"2","","","","",800,48,"16.67",114888,down,2014,"1",""
"24",test,YELLOW,green,incongruent,english,word,"800",up,"",left right up down,"2","","","","",800,48,"16.67",117338,up,1647,"1",""
"26",test,GREEN,blue,incongruent,english,word,"800",down,"",left right up down,"2","","","","",800,48,"16.67",119357,down,1217,"1",""
"25",test,GREEN,green,congruent,english,word,"800",up,"",left right up down,"2","","","","",800,48,"16.67",123834,up,3676,"1",""
"36",test,BLUE,red,incongruent,english,word,"800",left,"",left right up down,"3","","","","",800,48,"16.67",125799,left,1172,"1",""
"29",test,RED,red,congruent,english,word,"800",left,"",left right up down,"3","","","","",800,48,"16.66",127523,left,932,"1",""
"31",test,YELLOW,yellow,congruent,english,word,"800",right,"",left right up down,"3","","","","",799,48,"16.65",131166,right,2841,"1",""
"32",test,YELLOW,blue,incongruent,english,word,"800",down,"",left right up down,"3","","","","",800,48,"16.67",133377,down,1420,"1",""
"35",test,BLUE,blue,congruent,english,word,"800",down,"",left right up down,"3","","","","",800,48,"16.67",134743,down,569,"1",""
"30",test,RED,green,incongruent,english,word,"800",up,"",left right up down,"3","","","","",800,48,"16.67",136463,up,922,"1",""
"33",test,GREEN,green,congruent,english,word,"800",up,"",left right up down,"3","","","","",800,48,"16.67",138490,up,1233,"1",""
"34",test,GREEN,yellow,incongruent,english,word,"800",right,"",left right up down,"3","","","","",800,48,"16.66",140206,right,916,"1",""
"44",test,नीला,blue,congruent,hindi,word,"800",down,"",left right up down,"4","","","","",800,48,"16.67",148386,down,4590,"1",""
"39",test,लाल,blue,incongruent,hindi,word,"800",down,"",left right up down,"4","","","","",800,48,"16.67",152070,down,2895,"1",""
"43",test,हरा,yellow,incongruent,hindi,word,"800",right,"",left right up down,"4","","","","",800,48,"16.66",155454,right,2594,"1",""
"45",test,नीला,green,incongruent,hindi,word,"800",up,"",left right up down,"4","","","","",800,48,"16.67",158317,up,2076,"1",""
"38",test,लाल,red,congruent,hindi,word,"800",left,"",left right up down,"4","","","","",800,48,"16.67",160879,left,1770,"1",""
"40",test,पीला,yellow,congruent,hindi,word,"800",right,"",left right up down,"4","","","","",800,48,"16.66",163332,right,1658,"1",""
"41",test,पीला,red,incongruent,hindi,word,"800",left,"",left right up down,"4","","","","",800,48,"16.67",165342,left,1217,"1",""
"42",test,हरा,green,congruent,hindi,word,"800",up,"",left right up down,"4","","","","",800,48,"16.67",168510,up,2369,"1",""
"47",test,लाल,green,incongruent,hindi,word,"800",up,"",left right up down,"5","","","","",800,48,"16.67",169796,up,488,"1",""
"46",test,लाल,red,congruent,hindi,word,"800",left,"",left right up down,"5","","","","",800,48,"16.67",171201,left,610,"1",""
"51",test,हरा,red,incongruent,hindi,word,"800",left,"",left right up down,"5","","","","",800,48,"16.67",172677,left,686,"1",""
"52",test,नीला,blue,congruent,hindi,word,"800",down,"",left right up down,"5","","","","",800,48,"16.67",174675,down,1200,"1",""
"50",test,हरा,green,congruent,hindi,word,"800",up,"",left right up down,"5","","","","",800,48,"16.66",176208,up,734,"1",""
"49",test,पीला,blue,incongruent,hindi,word,"800",down,"",left right up down,"5","","","","",801,48,"16.69",179963,down,2955,"1",""
"53",test,नीला,yellow,incongruent,hindi,word,"800",right,"",left right up down,"5","","","","",800,48,"16.67",181902,right,1145,"1",""
"48",test,पीला,yellow,congruent,hindi,word,"800",right,"",left right up down,"5","","","","",799,48,"16.65",183334,right,642,"1",""
"58",test,हरा,green,congruent,hindi,word,"800",up,"",left right up down,"6","","","","",800,48,"16.67",187087,up,2962,"1",""
"55",test,लाल,yellow,incongruent,hindi,word,"800",right,"",left right up down,"6","","","","",800,48,"16.67",190291,right,2416,"1",""
"54",test,लाल,red,congruent,hindi,word,"800",left,"",left right up down,"6","","","","",800,48,"16.67",191798,left,707,"1",""
"61",test,नीला,red,incongruent,hindi,word,"800",left,"",left right up down,"6","","","","",800,48,"16.67",193360,left,769,"1",""
"56",test,पीला,yellow,congruent,hindi,word,"800",right,"",left right up down,"6","","","","",800,48,"16.67",194768,right,610,"1",""
"59",test,हरा,blue,incongruent,hindi,word,"800",down,"",left right up down,"6","","","","",799,48,"16.65",196312,down,753,"1",""
"57",test,पीला,green,incongruent,hindi,word,"800",up,"",left right up down,"6","","","","",800,48,"16.67",197600,up,492,"1",""
"60",test,नीला,blue,congruent,hindi,word,"800",down,"",left right up down,"6","","","","",800,48,"16.66",200226,down,1835,"1",""
"69",test,NEELA,blue,congruent,latin hindi,word,"800",down,"",left right up down,"7","","","","",800,48,"16.67",205922,down,2051,"1",""
"63",test,LAAL,red,congruent,latin hindi,word,"800",left,"",left right up down,"7","","","","",800,48,"16.67",208167,left,1446,"1",""
"68",test,HARA,red,incongruent,latin hindi,word,"800",left,"",left right up down,"7","","","","",800,48,"16.66",209969,left,1012,"1",""
"67",test,HARA,green,congruent,latin hindi,word,"800",up,"",left right up down,"7","","","","",800,48,"16.67",212726,up,1969,"1",""
"70",test,NEELA,yellow,incongruent,latin hindi,word,"800",right,"",left right up down,"7","","","","",800,48,"16.67",214411,right,888,"1",""
"65",test,PEELA,yellow,congruent,latin hindi,word,"800",right,"",left right up down,"7","","","","",800,48,"16.67",218094,right,2887,"1",""
"64",test,LAAL,green,incongruent,latin hindi,word,"800",up,"",left right up down,"7","","","","",800,48,"16.66",220121,up,1231,"1",""
"66",test,PEELA,blue,incongruent,latin hindi,word,"800",down,"",left right up down,"7","","","","",801,48,"16.68",221416,down,491,"1",""
"74",test,PEELA,green,incongruent,latin hindi,word,"800",up,"",left right up down,"8","","","","",800,48,"16.67",222951,up,743,"1",""
"72",test,LAAL,yellow,incongruent,latin hindi,word,"800",right,"",left right up down,"8","","","","",800,48,"16.67",224546,right,808,"1",""
"77",test,NEELA,blue,congruent,latin hindi,word,"800",down,"",left right up down,"8","","","","",800,48,"16.66",227280,down,1939,"1",""
"78",test,NEELA,red,incongruent,latin hindi,word,"800",left,"",left right up down,"8","","","","",800,48,"16.68",228715,left,642,"1",""
"75",test,HARA,green,congruent,latin hindi,word,"800",up,"",left right up down,"8","","","","",800,48,"16.67",230442,right,935,"0",""
"73",test,PEELA,yellow,congruent,latin hindi,word,"800",right,"",left right up down,"8","","","","",800,48,"16.67",235575,right,4334,"1",""
"76",test,HARA,blue,incongruent,latin hindi,word,"800",down,"",left right up down,"8","","","","",800,48,"16.67",236927,down,553,"1",""
"71",test,LAAL,red,congruent,latin hindi,word,"800",left,"",left right up down,"8","","","","",800,48,"16.66",238358,left,634,"1",""
"79",test,LAAL,red,congruent,latin hindi,word,"800",left,"",left right up down,"9","","","","",801,48,"16.68",239756,left,599,"1",""
"83",test,HARA,green,congruent,latin hindi,word,"800",up,"",left right up down,"9","","","","",800,48,"16.67",241363,up,806,"1",""
"81",test,PEELA,yellow,congruent,latin hindi,word,"800",right,"",left right up down,"9","","","","",800,48,"16.67",243798,right,1641,"1",""
"82",test,PEELA,red,incongruent,latin hindi,word,"800",left,"",left right up down,"9","","","","",800,48,"16.67",245327,left,737,"1",""
"80",test,LAAL,blue,incongruent,latin hindi,word,"800",down,"",left right up down,"9","","","","",800,48,"16.66",247544,down,1420,"1",""
"86",test,NEELA,green,incongruent,latin hindi,word,"800",up,"",left right up down,"9","","","","",800,48,"16.67",249990,up,1651,"1",""
"85",test,NEELA,blue,congruent,latin hindi,word,"800",down,"",left right up down,"9","","","","",800,48,"16.66",253977,down,3189,"1",""
"84",test,HARA,yellow,incongruent,latin hindi,word,"800",right,"",left right up down,"9","","","","",800,48,"16.67",256041,right,1267,"1",""
